,energy_source_name,company_name,city,tso_region,latitude,longitude,asset_count,total_generation_capacity_mw
126,Biomass,Lancepower GmbH,Klingenthal,50Hertz,50.361436,12.453022,1,1.2
127,Biomass,Lancepower Biomasse GmbH,Lichtensee,50Hertz,51.377445,13.363531,1,1.191
128,Biomass,Heizversorgung Wolgast GmbH,Wolgast,50Hertz,54.058738,13.76537,1,1.189
129,Biomass,Lancepower GmbH,Bad Lobenstein,50Hertz,50.462087,11.636383,1,1.189
130,Biomass,Lancepower GmbH,Hohenstein-Ernstthal,50Hertz,50.800699,12.731944,1,1.189
131,Biomass,Lancepower Strom Service GmbH,Flöha,50Hertz,50.852145,13.071521,1,1.189
132,Biomass,Lancepower Strom Service GmbH,Kirchberg,50Hertz,50.619609,12.506653,1,1.189
133,Biomass,Lancepower Strom Service GmbH,Lauchhammer,50Hertz,51.493305,13.736401,1,1.189
134,Biomass,Lancepower Strom Service GmbH,München,TenneT,48.135238,11.522968,1,1.189
135,Biomass,Lancepower Strom Service GmbH,Oberschleißheim,TenneT,48.254891,11.549763,1,1.189
136,Biomass,Lancepower Strom Service GmbH,Roßwein,50Hertz,51.061735,13.178086,1,1.189
137,Solar,electricvilleSolution GmbH,Hamm,Amprion,51.702944,7.769551,2,1.11
138,Solar,electricville AG,Rietberg,Amprion,51.737936,8.403699,1,1.1
139,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.3252085,9.82216525,4,1.07638
140,Biomass,Lancepower GmbH,Gerswalde,50Hertz,53.191,13.779,2,1.052
141,Biomass,electricville Contracting GmbH,Laatzen,TenneT,52.30583425,9.80633875,5,0.952
142,Biomass,Lancepower GmbH,Kirchheim,TransnetBW,48.615626,9.475712,1,0.936
143,Biomass,electricville Contracting Nord,Ahrensburg,TenneT,53.673688,10.241516,2,0.887
144,Biomass,electricville Contracting GmbH,Clausthal-Zellerfeld,TenneT,51.800107,10.348046,1,0.8
145,Solar,electricvilleSolution GmbH,Wallscheid,Amprion,50.094807,6.874521,1,0.78
146,Hydro,electricville AG,Hannover,TenneT,52.3805515,9.6906245,2,0.74
147,Biomass,Lancepower Strom Service GmbH,Hoym,50Hertz,51.783651,11.331526,1,0.716
148,Hydro,electricville AG,Hannover,TenneT,52.355476,9.736624,1,0.64
149,Biomass,Lancepower Strom Service GmbH,Johanngeorgenstadt,50Hertz,50.436536,12.713384,1,0.637
150,Biomass,electricville Contracting Nord,Halstenbek,TenneT,53.6274565,9.8521595,2,0.603
151,Wind,electricville Windfarm Portfolio GmbH ＆ Co. KG,Löcknitz,50Hertz,53.460581,14.142642,1,0.6
152,Biomass,Lancepower GmbH,Schöneck,50Hertz,50.394645,12.345261,1,0.56
153,Biomass,Lancepower Strom Service GmbH,Beckdorf,TenneT,53.418606,9.644791,1,0.537
154,Biomass,Lancepower Strom Service GmbH,Altmärkische Wische,50Hertz,52.878817,11.884087,1,0.536
155,Biomass,Lancepower Strom Service GmbH,Arneburg,50Hertz,52.682642,11.960671,1,0.536
156,Biomass,Lancepower GmbH,Wanzleben-Börde,50Hertz,52.058344,11.455158,2,0.51
157,Solar,electricvilleSolution GmbH,Karlsruhe,TransnetBW,49.019815,8.371491,1,0.48
158,Solar,electricville AG,Ronnenberg,TenneT,52.339182,9.649843,1,0.44
159,Biomass,electricville Contracting GmbH,Hannover,TenneT,52.347414,9.715738,2,0.40700000000000003
160,Biomass,electricville Contracting Nord,Glinde,TenneT,53.542963,10.226962,1,0.387
161,Biomass,electricville Contracting Nord,Bremen,TenneT,53.176739,8.64563,1,0.386
162,Biomass,electricville Contracting Nord,Buxtehude,TenneT,53.47994,9.692523,1,0.386
163,Biomass,electricville Contracting Nord,Rendsburg,TenneT,54.306042,9.679969,1,0.386
164,Biomass,electricville Contracting GmbH,Waldkraiburg,TenneT,48.199275,12.393505,1,0.383
165,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.42182,9.676072,3,0.36827
166,Solar,electricville AG,Wedemark,TenneT,52.591321,9.762763,3,0.35
167,Solar,Lancepower Biomasse GmbH,Pfaffenhofen,TenneT,48.522063,11.50509,2,0.35
168,Solar,electricville AG,Burgwedel,TenneT,52.578514,9.8553,2,0.348
169,Biomass,electricville Contracting GmbH,Hannover,TenneT,52.3371755,9.77718875,6,0.318
170,Biomass,electricville Contracting GmbH,Gablingen,TenneT,48.455257,10.854394,1,0.26
171,Biomass,electricville Contracting Nord,Geestland,TenneT,53.611524,8.5938,1,0.25
172,Biomass,electricville Contracting Nord,Hannover,TenneT,52.377511,9.670584,1,0.25
173,Solar,electricville Erneuerbare GmbH,Hannover,TenneT,52.398519,9.681854,1,0.236
174,Biomass,electricville Contracting GmbH,Oldenburg,TenneT,53.135293,8.164882,1,0.22
175,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.3831415,9.737058,3,0.21175
176,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.35331166666666,9.723931,3,0.21000000000000002
177,Solar,Lancepower Umwelt GmbH,Wedemark,TenneT,52.591874,9.76169,1,0.2061899999999999
178,Solar,electricville AG,Hannover,TenneT,52.403421,9.685708,5,0.20364
179,Biomass,Lancepower GmbH,Limbach-Oberfrohna,50Hertz,50.852227,12.759275,1,0.2
180,Biomass,eCG Biomasse,Ronnenberg,TenneT,52.316887,9.644498,1,0.2
181,Solar,electricville AG,Hannover,TenneT,52.375056,9.708023,3,0.18412
182,Biomass,electricville Contracting GmbH,Dießen,TenneT,47.945597,11.099628,1,0.142
183,Biomass,electricville Contracting GmbH,Erkelenz,Amprion,51.081045,6.310005,1,0.14
184,Biomass,electricville Contracting GmbH,Essen,Amprion,51.433175,7.026801,1,0.14
